,Less than 9th grade,Less than 9th grade: MOE,"9th-12th grade, no diploma","9th-12th grade, no diploma: MOE",High school graduate or equivalency,High school graduate or equivalency: MOE,"Some college, no degree","Some college, no degree: MOE",Associate's degree,Associate's degree: MOE,Bachelor's degree,Bachelor's degree: MOE,Graduate or professional degree,Graduate or professional degree: MOE
Ayers,0,7.4,1.7,2,41.7,11.8,31.3,9,3.4,2.7,9.6,4.4,12.4,7.7
Brown,0.7,0.6,2.4,1.6,33.9,6,30.5,5.9,10.1,2.9,16.3,4.5,6.1,2.7
Champaign,1.3,0.9,1.9,0.9,12.2,2.2,16.9,2.9,5.6,1.4,31.6,2.8,30.6,3.1
City of Champaign,1.7,0.4,2.9,0.5,17.5,1.4,19.1,1.6,7.8,0.9,24,1.5,27,1.5
Colfax,0,27.1,0,27.1,0,27.1,78.8,26.5,0,27.1,0,27.1,21.2,26.5
Compromise,0.5,0.5,5.2,3.1,38.4,6.9,27.8,4.3,9.4,2.5,10.7,3.1,8.1,5.7
Condit,0,6.5,0,6.5,25.4,9.2,31.3,7.7,17,9.7,16.7,8.2,9.6,7
Crittenden,4.5,6.3,0,10.6,27.2,16.2,39,29.2,5.3,7.3,13.4,11.1,10.6,12.2
Cunningham,1.4,0.7,3.3,1.1,17.4,2.5,16.4,2,7,1.6,23.9,1.9,30.7,2.2
East Bend,0,5,5.1,6.7,47.9,12,16.7,8.8,6.4,3.9,16.5,10,7.3,5.8
Harwood,4.1,2.7,11.7,7.7,36.3,6.8,16.5,5.5,5.3,4.4,20.5,6.9,5.7,3.2
Hensley,0,3.7,4.4,4.4,38.2,10.5,19.5,8.8,7.4,5.5,20.6,10.5,10,6.2
Kerr,0,17.6,0,17.6,24.1,13.3,35.5,11.5,9.2,6.9,24.1,17.7,7.1,8.2
Ludlow,0.4,0.4,6.6,3.5,39.2,7,26.7,7.4,5.6,2.4,9.9,4.4,11.6,5.4
Mahomet,1.5,1.1,1.6,1,19.4,3.1,21.3,3.2,10.4,2.5,26.4,4.4,19.3,3.1
Newcomb,0.9,1.3,1.2,1.4,28.7,7.8,21.3,6.8,9,4.6,19,7.8,19.9,8.7
Ogden,1.1,1.1,3.7,1.8,35.4,6.3,21.8,4.8,12.5,3.7,17.7,5.7,7.9,2.9
Pesotum,1.2,1.4,2,1.6,42.2,11.3,18.5,7.1,14.2,6,15.8,5.6,6.1,4.1
Philo,0.3,0.5,1.8,1.2,26.3,4.7,27.1,4.8,11.9,3.7,24.9,4.3,7.8,2.5
Rantoul,3.2,1.5,7.9,2.4,37.6,4,26.7,3.4,9.2,2.1,10.2,2.1,5.2,1.4
Raymond,0.8,1.2,8,6.1,42,15.4,25,10.6,13.3,10.9,8,7,3,4.5
Sadorus,2.6,2.4,8.5,5.1,32.6,10.4,26.2,8.5,16.9,7.9,10.5,5.7,2.7,1.6
St. Joseph,0.1,0.2,0.9,0.7,24.6,5.3,28,5.6,12.1,4.1,21.1,5.6,13.2,3.9
Scott,0.2,0.4,3.7,2.4,33.5,9.1,23.8,7.3,10.7,5.1,17.8,6.4,10.2,4.7
Sidney,1.4,1.1,2.9,1.8,25.7,4.8,25.4,4.6,15.3,3.4,17.7,4.4,11.5,4
Somer,0,3.4,2.8,3.1,40.2,10.5,23.4,8.1,13.1,6.7,17.6,7.1,2.9,2.8
South Homer,0.3,0.4,4.3,2,39.8,6.4,26.3,4.8,11.6,3.9,12.2,4.2,5.5,2.4
Stanton,3.3,5.5,2.7,4.4,22.8,11.9,34.2,13,11.5,8.4,17.9,9.4,7.7,7
Tolono,0.5,0.6,1.1,0.9,23.8,4.7,24.6,4.6,12.1,4.3,24.2,5.8,13.7,4.3
Urbana,4.4,2.3,7.5,3.2,32.2,4.7,24.6,4.5,7.6,2.7,12.6,3.8,11.1,3.4
