,Average Household Size,Average Household Size: MOE,Average Family Size,Average Family Size: MOE
Ayers,2.41,0.3,0.79,0.33
Brown,2.73,0.21,3.08,0.22
Champaign,2.32,0.09,3.01,0.13
City of Champaign,2.3,0.04,3.08,0.07
Colfax,1.67,0.44,1.92,0.24
Compromise,2.34,0.2,3.03,0.21
Condit,2.59,0.6,3.14,0.7
Crittenden,2.36,0.37,2.36,0.37
Cunningham,2.18,0.07,2.91,0.1
East Bend,2.57,0.48,2.75,0.33
Harwood,2.57,0.41,2.99,0.43
Hensley,2.56,0.44,3.19,0.52
Kerr,3.44,0.97,3.33,0.67
Ludlow,2.35,0.25,2.91,0.33
Mahomet,2.73,0.12,3.13,0.14
Newcomb,2.55,0.32,3.1,0.35
Ogden,2.58,0.2,3.1,0.22
Pesotum,2.58,0.54,3.43,0.51
Philo,2.85,0.17,3.15,0.17
Rantoul,2.57,0.13,3.14,0.14
Raymond,2.93,0.53,3.46,0.61
Sadorus,2.82,0.49,3.39,0.55
St. Joseph,2.65,0.16,3.1,0.19
Scott,2.27,0.26,2.8,0.28
Sidney,2.54,0.19,2.89,0.21
Somer,2.1,0.27,2.5,0.29
South Homer,2.53,0.19,3.06,0.21
Stanton,3.01,0.52,3.35,0.53
Tolono,2.6,0.22,3.11,0.26
Urbana,2.19,0.16,3.1,0.22
