,Speaking Only English,Speaking Only English MOE,Speaking a Language Other than English at Home,Speaking a Language Other than English at Home MOE
Ayers,453,85,13,11
Brown,"1,758",264,19,17
Champaign,"8,290",338,"2,169",314
City of Champaign,"64,365",1014,"16,631",925
Colfax,85,70,0,11
Compromise,"1,339",161,50,18
Condit,546,165,0,11
Crittenden,253,87,9,13
Cunningham,"29,869",839,"10,796",832
East Bend,667,186,0,11
Harwood,514,127,84,76
Hensley,"1,024",290,33,51
Kerr,228,121,0,11
Ludlow,"3,339",441,637,430
Mahomet,"11,604",404,840,361
Newcomb,"1,145",213,31,25
Ogden,"1,491",201,23,18
Pesotum,731,191,25,23
Philo,"1,877",265,51,63
Rantoul,"9,549",329,1028,326
Raymond,348,155,15,21
Sadorus,"1,149",333,7,7
St. Joseph,"5,236",179,141,107
Scott,"1,007",200,35,35
Sidney,"1,732",167,33,27
Somer,794,168,42,35
South Homer,"1,567",178,19,20
Stanton,738,240,0,11
Tolono,"4,831",196,279,173
Urbana,"5,863",300,960,271
